model,subset,N_gal,N_obs,equal_weight_rmse_kms,median_galaxy_rmse_kms,Nobs_weighted_rmse_kms
GMR local S_Psi variant,full_175,175,3391,47.68290931007122,18.97875076846859,66.50422205287454
GMR local S_Psi variant,calibration_24,24,612,35.019464770246415,19.475841354691802,36.35543627427512
GMR local S_Psi variant,external_151,151,2779,49.39754680214692,18.97875076846859,71.45448934456948
