galaxy,subset,class,N_obs,factor_mean,factor_std,factor_median,factor_min,factor_max,alpha_mean,S_rad_mean
UGC07524,non_calibration_151,low_mass_dwarf,31,0.6904893469900875,0.1878817124879205,0.754975875589763,0.2400830021253301,0.886987165672489,0.9864648301139276,0.8270771476132434
UGC07559,non_calibration_151,low_mass_dwarf,7,0.4233666307250893,0.1689454693092466,0.4545291437631493,0.1849149708946465,0.626804564950148,0.7005246873939753,0.6388205558476768
UGC07577,non_calibration_151,low_mass_dwarf,9,0.3553648371502271,0.1321497121788401,0.3626597414096777,0.1771552660082525,0.5365419721831461,0.4991821233218657,0.7246376145994026
UGC07603,non_calibration_151,bulge_rich_hsb,12,0.494657245882141,0.2346569166050435,0.5714166754778841,0.0990930437296056,0.7492268668813382,0.8913572620377151,0.6100617348196211
UGC07608,non_calibration_151,low_mass_dwarf,8,0.5436411171618146,0.1716850557618247,0.5788080538154313,0.2630521179966578,0.7423500832815371,0.8403197205180315,0.7231769984278863
UGC07690,non_calibration_151,low_mass_dwarf,7,0.4131037433808306,0.2396438744018786,0.484349700362122,0.0626839463640128,0.6689910795053039,0.95839491452834,0.4800297231716319
UGC07866,non_calibration_151,low_mass_dwarf,7,0.4139710963600287,0.1724644120279991,0.4391863120733274,0.1739656593201642,0.6227301861998668,0.671220496541293,0.6447633152194896
UGC08286,non_calibration_151,bulge_rich_hsb,17,0.6588235205635461,0.2291651733475049,0.7613395445252533,0.1705436829083821,0.8688041940740735,0.9908834581478174,0.7728215995355987
UGC08490,non_calibration_151,low_mass_dwarf,30,0.6522394469084725,0.2479865423293298,0.7519785013279588,0.0676819697226384,0.8768884172712581,1.0808282384073291,0.7222274918829769
UGC08550,non_calibration_151,bulge_rich_hsb,11,0.6177961547978538,0.2003583630326049,0.6917954086715237,0.2022009164621355,0.8044400646899901,0.8894534769981088,0.7810975702697625
UGC08699,non_calibration_151,bulge_rich_hsb,41,0.3822204724205151,0.3093263833387197,0.3371255419182262,0.0235469492904345,0.9610709841380336,1.08024992343242,0.4074873890806506
UGC08837,non_calibration_151,low_mass_dwarf,8,0.4824720795633167,0.192721628710815,0.5049148099030765,0.1914358096938751,0.7235634330495759,0.842318965994031,0.6320750163993085
UGC09037,non_calibration_151,bulge_rich_hsb,22,0.6842742017862142,0.2556429539203869,0.8003389087220765,0.1623873614512432,0.9271028472341604,1.240173258794545,0.7168051070219881
UGC09133,non_calibration_151,bulge_rich_hsb,68,0.6019264092948279,0.3374477336042332,0.5233445138709258,0.1027573173884398,0.9783885376566082,1.2258266830523064,0.6291360991443123
UGC09992,non_calibration_151,low_mass_dwarf,5,0.4805882416390586,0.2049286258038399,0.5163172126308626,0.1988676407616933,0.7044187821794088,0.8610260327443893,0.61745900765673
UGC10310,non_calibration_151,low_mass_dwarf,7,0.6398111934994208,0.2098569442237373,0.7041145557463253,0.2858813091133728,0.8482296964664056,0.9977149869031504,0.75211293545302
UGC11455,non_calibration_151,bulge_rich_hsb,36,0.5856999181312698,0.2951975882145957,0.5237159938504947,0.1426619302234365,0.9751444017114496,1.2310191845677922,0.6135967617485224
UGC11557,non_calibration_151,low_mass_dwarf,12,0.4915228628905861,0.2642402830166892,0.4634132361880575,0.1312112748680452,0.8990635043629529,1.0686413762570102,0.5459355322463179
UGC11820,non_calibration_151,low_mass_dwarf,10,0.5881802868528891,0.3198442652357624,0.6388429761039992,0.1932274467920811,0.924654582864884,0.8777124280873483,0.7487667308909441
UGC11914,non_calibration_151,bulge_rich_hsb,65,0.1279158821812706,0.1131900423961077,0.1060895166641006,0.0128270862174512,0.6027143406432564,0.8883406131939461,0.1502054642434596
UGC12506,non_calibration_151,bulge_rich_hsb,31,0.8433918247923691,0.1726890809956279,0.9344025547294612,0.363589394811788,0.966686242805557,1.277241022556254,0.8796066401539656
UGC12632,non_calibration_151,low_mass_dwarf,15,0.7221891710421885,0.1692818813939544,0.7892079350336977,0.3314725446818402,0.8785041276684582,0.9386114902119834,0.8963080087339623
UGC12732,non_calibration_151,low_mass_dwarf,16,0.7814864076590331,0.1657051815549768,0.8550356791578573,0.3505024727565577,0.9116839122218224,1.0541149543934525,0.8972784240981498
UGCA281,non_calibration_151,low_mass_dwarf,7,0.1105344732476034,0.0430632650637616,0.0981885166279788,0.0693323084807715,0.181018712087566,0.5150345398791121,0.2194802456672318
UGCA442,non_calibration_151,low_mass_dwarf,8,0.5752566598792721,0.2026747596140639,0.6133911911257846,0.2438000262476523,0.8113949126830844,0.970342662339858,0.6875575812211625
UGCA444,calibration_24,low_mass_dwarf,36,0.3632959237501869,0.1599403992983044,0.3692412406386439,0.1177251575741475,0.613650061114126,0.6779995063051912,0.5590619763385488
