galaxy,subset,morph_slice,n_points,delta_rmse_gmr_minus_nfw_kms
NGC6503,calibration_24,bulge_rich_hsb,31,0.0824732532192538
NGC6674,external_151,bulge_rich_hsb,15,-68.28044023679777
NGC6789,external_151,low_mass_dwarf,4,17.39074796382092
NGC6946,calibration_24,bulge_rich_hsb,58,-12.090708233356114
NGC7331,external_151,bulge_rich_hsb,36,5.483041908177228
NGC7793,external_151,bulge_rich_hsb,46,6.93338613505623
NGC7814,external_151,bulge_rich_hsb,18,2.035381697811502
PGC51017,external_151,low_mass_dwarf,6,16.244477959245387
UGC00128,external_151,low_mass_dwarf,22,-6.960618319257545
UGC00191,external_151,low_mass_dwarf,9,7.1687931192625785
UGC00634,external_151,low_mass_dwarf,4,0.5509007638882153
UGC00731,external_151,low_mass_dwarf,12,5.871641682329685
UGC00891,external_151,low_mass_dwarf,5,0.0543728314857832
UGC01230,external_151,low_mass_dwarf,11,12.290506113632967
UGC01281,external_151,low_mass_dwarf,25,-2.945789051537952
UGC02023,external_151,low_mass_dwarf,5,-1.286543091127566
UGC02259,external_151,low_mass_dwarf,8,13.305235620471429
UGC02455,external_151,low_mass_dwarf,8,8.368447563148003
UGC02487,external_151,bulge_rich_hsb,17,-87.2004690066077
UGC02885,external_151,ordinary_disk,19,-53.59459656094354
UGC02916,external_151,bulge_rich_hsb,43,3.866249246806163
UGC02953,external_151,bulge_rich_hsb,115,-21.632293745285324
UGC03205,external_151,bulge_rich_hsb,48,-20.31631991922238
UGC03546,external_151,bulge_rich_hsb,30,5.354959441709283
UGC03580,calibration_24,bulge_rich_hsb,47,4.531462253381173
UGC04278,external_151,ordinary_disk,25,-1.8057626950807446
UGC04305,external_151,low_mass_dwarf,22,15.591946546491826
UGC04325,external_151,low_mass_dwarf,8,21.2252489201133
UGC04483,external_151,low_mass_dwarf,8,1.1354155722036288
UGC04499,external_151,low_mass_dwarf,9,4.851106887891256
UGC05005,external_151,low_mass_dwarf,11,3.0167890177497547
UGC05253,external_151,bulge_rich_hsb,73,8.82472843516338
UGC05414,external_151,low_mass_dwarf,6,-1.5930222198586703
UGC05716,external_151,low_mass_dwarf,12,4.14552999662913
UGC05721,calibration_24,bulge_rich_hsb,23,15.8067900311631
UGC05750,external_151,low_mass_dwarf,11,0.3444115753350019
UGC05764,calibration_24,low_mass_dwarf,10,10.177987212272656
UGC05829,external_151,low_mass_dwarf,11,-0.934669136224306
UGC05918,external_151,low_mass_dwarf,8,2.8975706868513234
UGC05986,external_151,low_mass_dwarf,15,4.770620090950052
UGC05999,external_151,low_mass_dwarf,5,5.27413700716923
UGC06399,external_151,low_mass_dwarf,9,0.15616051075320758
UGC06446,external_151,ordinary_disk,17,7.898351901010235
UGC06614,external_151,bulge_rich_hsb,13,-28.206367568662344
UGC06628,external_151,low_mass_dwarf,7,31.974580351118234
UGC06667,external_151,ordinary_disk,9,11.79191594422969
UGC06786,external_151,bulge_rich_hsb,45,-3.470140186420693
UGC06787,external_151,bulge_rich_hsb,71,1.453968126837907
UGC06818,external_151,low_mass_dwarf,8,-1.6222375200325683
UGC06917,external_151,low_mass_dwarf,11,3.298135815655179
UGC06923,external_151,low_mass_dwarf,6,0.36512768694930386
UGC06930,external_151,ordinary_disk,10,16.95944799713801
UGC06973,calibration_24,bulge_rich_hsb,9,4.509005588416699
UGC06983,external_151,ordinary_disk,17,9.572921688163177
UGC07089,external_151,low_mass_dwarf,12,7.570022295013286
UGC07125,external_151,low_mass_dwarf,13,34.2729693902917
UGC07151,external_151,bulge_rich_hsb,11,5.24548817163978
UGC07232,external_151,low_mass_dwarf,4,6.752411280799726
UGC07261,external_151,low_mass_dwarf,7,6.386304582878788
UGC07323,external_151,low_mass_dwarf,10,-5.774747805433975
UGC07399,external_151,low_mass_dwarf,10,28.22578677802474
UGC07524,external_151,low_mass_dwarf,31,3.6022608872846034
UGC07559,external_151,low_mass_dwarf,7,1.8347974354030492
UGC07577,external_151,low_mass_dwarf,9,5.912115477173185
UGC07603,external_151,bulge_rich_hsb,12,7.056781899492249
UGC07608,external_151,low_mass_dwarf,8,5.001380856600463
UGC07690,external_151,low_mass_dwarf,7,7.977750216386024
UGC07866,external_151,low_mass_dwarf,7,1.4493372825282902
UGC08286,external_151,bulge_rich_hsb,17,12.0319901596568
UGC08490,external_151,low_mass_dwarf,30,10.92674810556679
UGC08550,external_151,bulge_rich_hsb,11,5.312885579962954
UGC08699,external_151,bulge_rich_hsb,41,7.1348326106619595
UGC08837,external_151,low_mass_dwarf,8,2.763090990268437
UGC09037,external_151,bulge_rich_hsb,22,29.947125575359635
UGC09133,external_151,bulge_rich_hsb,68,-30.68862457801184
UGC09992,external_151,low_mass_dwarf,5,11.504424116855258
UGC10310,external_151,low_mass_dwarf,7,3.7106227330275776
UGC11455,external_151,bulge_rich_hsb,36,-55.95180214822378
UGC11557,external_151,low_mass_dwarf,12,13.79142867358207
UGC11820,external_151,low_mass_dwarf,10,4.450530905103298
UGC11914,external_151,bulge_rich_hsb,65,17.26763056457365
UGC12506,external_151,bulge_rich_hsb,31,-59.08946096922222
UGC12632,external_151,low_mass_dwarf,15,3.92890622016609
UGC12732,external_151,low_mass_dwarf,16,0.7818799535399172
UGCA281,external_151,low_mass_dwarf,7,5.569320623041444
UGCA442,external_151,low_mass_dwarf,8,2.676625848684591
UGCA444,calibration_24,low_mass_dwarf,36,1.918677153293806
