series,x_log10_gbar,y_log10_gobs,n_points,residual_vs_official
official_all,-9.63,-9.49,,
official_all,-9.64,-9.49,,
official_all,-9.65,-9.5,,
official_all,-9.67,-9.52,,
official_all,-9.69,-9.53,,
official_all,-9.74,-9.56,,
official_all,-9.76,-9.57,,
official_all,-9.82,-9.61,,
official_all,-9.84,-9.63,,
official_all,-9.86,-9.64,,
official_all,-9.97,-9.71,,
official_all,-9.98,-9.73,,
official_all,-10.0,-9.74,,
official_all,-10.11,-9.82,,
official_all,-10.21,-9.9,,
official_all,-10.32,-9.98,,
official_all,-10.4,-10.04,,
official_all,-10.47,-10.09,,
official_all,-10.55,-10.15,,
official_all,-10.61,-10.21,,
official_all,-10.68,-10.26,,
official_all,-10.75,-10.31,,
official_all,-10.81,-10.35,,
official_all,-10.86,-10.39,,
official_all,-10.91,-10.42,,
official_all,-10.96,-10.43,,
official_all,-11.0,-10.44,,
official_all,-11.05,-10.45,,
official_all,-11.09,-10.47,,
official_all,-11.12,-10.49,,
official_all,-11.15,-10.52,,
official_all,-11.18,-10.56,,
official_all,-11.22,-10.59,,
official_all,-11.25,-10.62,,
official_all,-11.28,-10.65,,
official_all,-11.3,-10.66,,
official_all,-11.33,-10.68,,
official_all,-11.35,-10.7,,
official_all,-11.38,-10.72,,
official_all,-11.41,-10.74,,
official_all,-11.43,-10.76,,
official_all,-11.46,-10.76,,
official_all,-11.5,-10.78,,
official_all,-11.57,-10.8,,
official_all,-9.9,-10.29,,
official_all,-10.0,-10.16,,
official_all,-10.11,-10.12,,
official_all,-10.19,-10.11,,
official_all,-10.22,-10.17,,
official_all,-10.29,-10.2,,
official_all,-10.35,-10.23,,
official_all,-10.41,-10.25,,
official_all,-10.44,-10.26,,
official_all,-10.49,-10.29,,
official_all,-10.53,-10.31,,
official_all,-10.57,-10.31,,
official_all,-10.62,-10.32,,
official_all,-10.67,-10.35,,
official_all,-10.73,-10.37,,
official_all,-10.75,-10.41,,
official_all,-10.8,-10.45,,
official_all,-10.84,-10.47,,
official_all,-10.87,-10.5,,
official_all,-10.92,-10.54,,
official_all,-11.35,-11.04,,
official_all,-11.16,-10.91,,
official_all,-11.12,-10.81,,
official_all,-11.15,-10.72,,
official_all,-11.17,-10.72,,
official_all,-11.18,-10.75,,
official_all,-8.78,-8.88,,
official_all,-8.9,-8.94,,
official_all,-9.02,-9.01,,
official_all,-9.12,-9.06,,
official_all,-9.21,-9.12,,
official_all,-9.29,-9.17,,
official_all,-9.36,-9.22,,
official_all,-9.42,-9.28,,
official_all,-9.47,-9.33,,
official_all,-9.53,-9.39,,
official_all,-9.59,-9.44,,
official_all,-10.07,-9.8,,
official_all,-10.08,-9.8,,
official_all,-10.1,-9.81,,
official_all,-10.12,-9.81,,
official_all,-10.14,-9.82,,
official_all,-10.15,-9.82,,
official_all,-10.17,-9.82,,
official_all,-10.18,-9.83,,
official_all,-10.19,-9.84,,
official_all,-10.2,-9.85,,
official_all,-10.21,-9.86,,
official_all,-10.22,-9.86,,
official_all,-10.22,-9.87,,
official_all,-10.23,-9.88,,
official_all,-10.24,-9.89,,
official_all,-10.28,-9.92,,
official_all,-10.3,-9.94,,
official_all,-10.32,-9.95,,
official_all,-10.34,-9.96,,
official_all,-10.43,-10.03,,
official_all,-10.56,-10.12,,
official_all,-10.67,-10.19,,
official_all,-10.76,-10.23,,
official_all,-10.85,-10.26,,
official_all,-10.93,-10.3,,
official_all,-11.01,-10.33,,
official_all,-11.11,-10.37,,
official_all,-10.98,-10.38,,
official_all,-10.9,-10.22,,
official_all,-10.94,-10.29,,
official_all,-11.04,-10.4,,
official_all,-11.2,-10.47,,
official_all,-11.36,-10.53,,
official_all,-11.44,-10.57,,
official_all,-11.48,-10.6,,
official_all,-11.44,-10.61,,
official_all,-11.41,-10.66,,
official_all,-11.44,-10.7,,
official_all,-10.43,-9.84,,
official_all,-10.4,-9.92,,
official_all,-10.46,-9.94,,
official_all,-10.54,-9.96,,
official_all,-10.62,-9.99,,
official_all,-10.7,-10.04,,
official_all,-10.76,-10.1,,
official_all,-10.82,-10.14,,
official_all,-10.88,-10.18,,
official_all,-10.93,-10.23,,
official_all,-10.96,-10.27,,
official_all,-11.0,-10.3,,
official_all,-11.05,-10.33,,
official_all,-11.11,-10.37,,
official_all,-11.17,-10.4,,
official_all,-11.25,-10.43,,
official_all,-11.28,-10.44,,
official_all,-11.31,-10.47,,
official_all,-11.35,-10.49,,
official_all,-11.38,-10.51,,
official_all,-11.41,-10.54,,
official_all,-11.42,-10.56,,
official_all,-11.44,-10.58,,
official_all,-11.49,-10.6,,
official_all,-11.51,-10.62,,
official_all,-11.53,-10.65,,
official_all,-11.57,-10.67,,
official_all,-11.6,-10.69,,
official_all,-11.62,-10.71,,
official_all,-11.63,-10.72,,
official_all,-11.0,-10.19,,
official_all,-10.99,-10.08,,
official_all,-10.94,-10.08,,
official_all,-10.92,-10.14,,
official_all,-10.99,-10.2,,
official_all,-11.02,-10.25,,
official_all,-11.04,-10.29,,
official_all,-11.06,-10.32,,
official_all,-11.07,-10.34,,
official_all,-11.14,-10.38,,
official_all,-11.2,-10.41,,
official_all,-11.27,-10.44,,
official_all,-11.32,-10.47,,
official_all,-11.29,-10.5,,
official_all,-11.34,-10.52,,
official_all,-11.37,-10.54,,
official_all,-10.23,-9.95,,
official_all,-10.44,-10.01,,
official_all,-10.63,-10.17,,
official_all,-10.77,-10.32,,
official_all,-10.89,-10.43,,
official_all,-11.01,-10.53,,
official_all,-11.11,-10.61,,
official_all,-10.69,-10.3,,
official_all,-10.77,-10.25,,
official_all,-10.86,-10.22,,
official_all,-10.86,-10.21,,
official_all,-10.92,-10.24,,
official_all,-11.03,-10.3,,
official_all,-11.15,-10.37,,
official_all,-11.24,-10.4,,
official_all,-11.3,-10.45,,
official_all,-11.34,-10.47,,
official_all,-11.39,-10.49,,
official_all,-11.27,-10.57,,
official_all,-11.27,-10.56,,
official_all,-11.28,-10.56,,
official_all,-11.24,-10.58,,
official_all,-11.23,-10.54,,
official_all,-11.22,-10.51,,
official_all,-11.21,-10.49,,
official_all,-11.19,-10.49,,
official_all,-11.19,-10.5,,
official_all,-11.2,-10.52,,
official_all,-11.21,-10.52,,
official_all,-11.23,-10.54,,
