galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
UGC02885,ordinary_success,19,1.7,305.0,10.0,72.860808480374,86.94565505537226,116.34936087151134,85.27482313095186,188.29153876160714,81.57193537955308
UGC02885,ordinary_success,19,3.41,257.0,10.0,101.50988673833801,125.49459764896487,163.11117266049501,117.28670118309297,212.33305890636728,122.2508361565966
UGC02885,ordinary_success,19,6.82,256.0,10.0,138.69059258668133,178.7516265477453,225.8089450256638,157.19076343501976,237.79942140202283,180.05849860296206
UGC02885,ordinary_success,19,13.67,271.0,10.0,180.5650417812288,252.8660539291563,303.71267595721713,200.27243364102307,266.91589795714305,242.6922029544183
UGC02885,ordinary_success,19,19.49,282.0,10.0,190.80192550088748,289.45549821377887,336.95534130925,211.28470325006597,274.6774678367582,260.7025752751383
UGC02885,ordinary_success,19,23.36,287.0,10.0,188.68239115325952,304.60119918918105,347.37185976241403,209.94524211425312,273.4972131565997,262.403237852891
UGC02885,ordinary_success,19,27.24,283.0,10.0,185.42579454928716,315.32289294972685,355.06976377766495,207.32228218604453,271.46932785185004,261.6945935845612
UGC02885,ordinary_success,19,31.22,280.0,10.0,183.32160441181782,324.1966090398314,363.0915887821022,205.55568119544512,270.19759179952564,260.79942733932535
UGC02885,ordinary_success,19,35.1,280.0,10.0,177.27655824882254,327.1455951630792,365.30872962511944,200.1644718472922,266.25716084712735,256.4959364615273
UGC02885,ordinary_success,19,38.97,281.0,10.0,169.42869448857803,326.24751250270265,364.3236036718336,193.13747529891373,261.19869632080815,250.61183656178665
UGC02885,ordinary_success,19,42.85,282.0,10.0,165.03779759123512,327.61124355155056,366.62215744804104,189.1195902442016,258.45606777105843,246.8523346962323
UGC02885,ordinary_success,19,46.73,287.0,10.0,158.0674418500149,325.0832159056615,364.94705841479964,182.83919697501418,254.13302247302718,241.23874751717887
UGC02885,ordinary_success,19,50.71,292.0,10.0,148.1888354942405,318.167399825686,358.7907228127491,174.0894051625602,248.17255712703158,233.70253258143325
UGC02885,ordinary_success,19,54.57999999999999,298.0,10.0,143.7263237671277,317.1495886993652,358.8123975107954,170.00618267078903,245.58727193016054,229.6671258014868
UGC02885,ordinary_success,19,58.459999999999994,298.0,10.0,137.57610356714628,313.4452865618763,355.9625285163354,164.51409658010544,242.08635348451597,224.57829414811775
UGC02885,ordinary_success,19,62.34,298.0,10.0,129.5088193928722,306.590535030984,349.71119591916175,157.48187473566693,237.63647379140068,218.39594911803945
UGC02885,ordinary_success,19,66.21,298.0,10.0,124.44587852488034,303.3516340383525,347.14303306167244,152.98451565369677,234.95298337977584,214.0866447352025
UGC02885,ordinary_success,19,70.19,298.0,10.0,119.4624380306958,299.93760271382945,344.32041376414656,148.57672316092936,232.38643327406885,209.83998316353032
UGC02885,ordinary_success,19,74.07,298.0,10.0,113.36661276297329,294.41084542849103,339.13403294227606,143.33744780324264,229.34289188120275,205.07546279032954
