galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
UGC06930,ordinary_tension,10,1.74,54.7,8.3,34.77384751088212,47.626680395950565,75.73895372979888,63.36463867901127,61.653395293909625,54.162868810623834
UGC06930,ordinary_tension,10,3.5000000000000004,85.4,7.0,46.86443739734561,71.213015947142,104.40486686917768,82.85115310935734,84.85011342082973,81.43261267042612
UGC06930,ordinary_tension,10,5.24,93.8,6.2,53.05517719594547,90.41384491946103,122.36554288110344,93.44181975829648,95.47983884685503,95.90218907441569
UGC06930,ordinary_tension,10,6.98,98.7,5.2,56.75182971791244,105.65896781609774,135.44616117796565,100.02340076681621,101.48908184776164,103.74756397835087
UGC06930,ordinary_tension,10,8.72,103.0,5.2,58.47292963348394,117.48011748826636,144.8055490092736,103.98734762084054,104.92883705721715,107.67142023068166
UGC06930,ordinary_tension,10,10.47,107.0,5.2,59.065875477380104,125.73465913207396,151.81934296275645,106.37983999646879,106.96830695626947,109.41722555961755
UGC06930,ordinary_tension,10,12.189999999999998,109.0,5.2,58.606122063641024,131.43220123433306,156.57192221656342,107.53130907288914,107.94649619636539,109.684679883239
UGC06930,ordinary_tension,10,13.94,108.0,7.4,57.514458079933185,135.21572975481047,159.90029065415087,107.92915941687191,108.31904440502078,109.09334226912179
UGC06930,ordinary_tension,10,15.68,108.0,7.4,56.388694565313195,137.9618242738869,162.6269126005889,107.99413398274437,108.48155041005357,108.16466224186564
UGC06930,ordinary_tension,10,16.61,108.0,7.4,55.512103178081105,138.8276939076191,163.471446121696,107.78976328257193,108.37152241571138,107.44066255590172
