galaxy,sbeff_sol_lum_pc2,gas_fraction_proxy,c4_minus_nfw_kms,morph_slice
D564-8,10.11,0.467741935483871,-0.37906931738664773,low_mass_dwarf
D631-7,20.93,0.5967078189300411,0.45007142726962,low_mass_dwarf
DDO064,17.41,0.5733695652173912,2.347554361156546,low_mass_dwarf
DDO168,18.23,0.6837748344370861,1.1339508918775625,low_mass_dwarf
ESO079-G014,157.34,0.05722304229766917,-22.168404582312235,bulge_rich_hsb
ESO116-G012,90.54,0.20148837209302325,5.334410683296024,bulge_rich_hsb
ESO444-G084,19.81,0.6553398058252428,11.872263740676416,low_mass_dwarf
ESO563-G021,429.37,0.0724286459497727,-74.02827762825557,bulge_rich_hsb
F561-1,22.12,0.28461133532198635,29.460979211687896,low_mass_dwarf
F563-1,14.22,0.6270821085635901,5.048053843184748,low_mass_dwarf
F563-V1,9.75,0.2837209302325581,26.16676366703761,low_mass_dwarf
F563-V2,23.6,0.42075654704170706,10.529716263848442,low_mass_dwarf
F565-V2,6.93,0.5556438791732909,-2.3886423886046755,low_mass_dwarf
F567-2,11.5,0.5343661357189613,18.122684322559085,low_mass_dwarf
F568-1,20.36,0.4184186046511628,3.621278195093346,ordinary_disk
F568-3,23.81,0.2768390953990122,-4.534086736132493,ordinary_disk
F568-V1,31.39,0.3943951868271057,10.434922129797636,ordinary_disk
F571-8,825.71,0.14917127071823205,-9.770731110321112,bulge_rich_hsb
F571-V1,15.3,0.39693411611219837,1.2499115017029654,ordinary_disk
F574-1,29.98,0.35026339330086476,2.3228451651844537,ordinary_disk
F574-2,10.89,0.371559633027523,35.59493622976168,low_mass_dwarf
F579-V1,56.6,0.1592989427375293,11.414231573101556,ordinary_disk
F583-1,11.19,0.6831619537275063,0.5787152759534493,low_mass_dwarf
F583-4,24.94,0.2720713073005094,0.9866316036673841,ordinary_disk
IC2574,15.88,0.5048732943469786,2.5114712558526193,low_mass_dwarf
NGC0024,151.65,0.1480832420591457,26.587315179387694,bulge_rich_hsb
