galaxy,morph_slice,n_points,surface_brightness_proxy,gas_fraction_proxy,luminosity_36e9_sol,delta_rmse_gmr_minus_nfw_kms
NGC6674,bulge_rich_hsb,15,560.83,0.1303181683743958,214.654,-68.28044023679777
NGC6789,low_mass_dwarf,4,59.27,0.1452991452991453,0.1,17.39074796382092
NGC7331,bulge_rich_hsb,36,2470.76,0.04228920358581266,250.631,5.483041908177228
NGC7793,bulge_rich_hsb,46,233.79,0.10883579825559349,7.05,6.93338613505623
NGC7814,bulge_rich_hsb,18,2709.13,0.014153626370719192,74.529,2.035381697811502
PGC51017,low_mass_dwarf,6,15.03,0.5646067415730338,0.155,16.244477959245387
UGC00128,low_mass_dwarf,22,20.36,0.38203691326924066,12.02,-6.960618319257545
UGC00191,low_mass_dwarf,9,50.21,0.4012548550941141,2.004,7.1687931192625785
UGC00634,low_mass_dwarf,4,26.11,0.5506614552014432,2.989,0.5509007638882153
UGC00731,low_mass_dwarf,12,25.63,0.8483568075117371,0.323,5.871641682329685
UGC00891,low_mass_dwarf,5,19.09,0.5336658354114713,0.374,0.0543728314857832
UGC01230,low_mass_dwarf,11,28.63,0.45765124555160136,7.62,12.290506113632967
UGC01281,low_mass_dwarf,25,13.83,0.4544049459041731,0.353,-2.945789051537952
UGC02023,low_mass_dwarf,5,27.59,0.2672268907563025,1.308,-1.286543091127566
UGC02259,low_mass_dwarf,8,47.08,0.2226228030644434,1.725,13.305235620471429
UGC02455,low_mass_dwarf,8,254.0,0.1803683737646002,3.649,8.368447563148003
UGC02487,bulge_rich_hsb,17,818.14,0.03536594489661717,489.955,-87.2004690066077
UGC02885,ordinary_disk,19,421.53,0.09034039675383229,403.525,-53.59459656094354
UGC02916,bulge_rich_hsb,43,2425.66,0.1578622495353601,124.153,3.866249246806163
UGC02953,bulge_rich_hsb,115,1544.65,0.02873546011167832,259.518,-21.632293745285324
UGC03205,bulge_rich_hsb,48,587.26,0.07847128179761433,113.642,-20.31631991922238
UGC03546,bulge_rich_hsb,30,2403.42,0.025718433627212507,101.336,5.354959441709283
UGC04278,ordinary_disk,25,34.11,0.4605860503508048,1.307,-1.8057626950807446
UGC04305,low_mass_dwarf,22,76.71,0.48387096774193544,0.736,15.591946546491826
UGC04325,low_mass_dwarf,8,41.0,0.25073964497041423,2.026,21.2252489201133
UGC04483,low_mass_dwarf,8,29.71,0.7111111111111111,0.013,1.1354155722036288
UGC04499,low_mass_dwarf,9,33.79,0.41478129713423834,1.552,4.851106887891256
UGC05005,low_mass_dwarf,11,25.63,0.43000139024051165,4.1,3.0167890177497547
UGC05253,bulge_rich_hsb,73,1488.78,0.08722297290108418,171.582,8.82472843516338
UGC05414,low_mass_dwarf,6,32.87,0.33824395992928696,1.123,-1.5930222198586703
UGC05716,low_mass_dwarf,12,27.59,0.6504161712247325,0.588,4.14552999662913
UGC05750,low_mass_dwarf,11,6.87,0.24780157835400227,3.336,0.3444115753350019
