sample,model,equal_weight_rmse,median_rmse,gmr_win_rate_vs_model
full_175,GMR,40.55415803550234,16.166500394885055,nan
full_175,MOND,44.90722411368584,28.16030801243703,0.7257142857142858
full_175,NFW,46.61328932869312,8.401411256026199,0.32
full_175,ISO,20.31597857171023,4.918775895655931,0.07428571428571429
full_175,Burkert,25.86170271570679,5.646239763857961,0.08571428571428572
heldout_151,GMR,41.86993938419703,16.033297660717206,nan
heldout_151,MOND,45.3664676773559,28.352434394126405,0.7152317880794702
heldout_151,NFW,48.45009523111443,9.307252179720964,0.33774834437086093
heldout_151,ISO,20.868779231235383,4.76979664564286,0.07947019867549669
heldout_151,Burkert,27.081245437986247,5.522072113781584,0.09271523178807947
