galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
UGC07125,dwarf_tension,13,1.4400000000000002,26.1,3.3,21.06228975103281,36.08129976296154,55.12281525816614,32.32312531847299,27.882983871535423,25.896811930587113
UGC07125,dwarf_tension,13,2.8800000000000003,43.0,3.47,28.67511108775716,55.04323311666131,76.37487454175232,42.96691584646775,41.80351408358068,39.30825083169356
UGC07125,dwarf_tension,13,4.33,48.5,2.35,33.54014103721801,69.51062100986496,91.30518130890425,49.551522860211115,50.48112891874493,48.98888904240415
UGC07125,dwarf_tension,13,5.760000000000001,52.5,2.0,36.154330185123165,79.79074661900472,101.56620011603454,53.472924090680124,55.61113297499829,55.372520634423964
UGC07125,dwarf_tension,13,7.2,56.4,2.05,37.357895098205525,87.58123504820776,108.88654512070548,55.8026939745327,58.735546928642684,59.54831905839426
UGC07125,dwarf_tension,13,8.64,58.5,2.21,38.28497344203303,93.8997828283306,115.137516161085,57.51864322368644,61.015475734025756,62.56044962131164
UGC07125,dwarf_tension,13,10.08,61.5,2.1,39.22668864927524,99.39253196192978,120.94193512340928,58.94672960669999,62.87526716310475,64.85395185072026
UGC07125,dwarf_tension,13,11.47,64.6,2.01,39.531890232694984,103.50729651322631,125.20434276774637,59.72090441762852,64.0205127930213,66.20438650370619
UGC07125,dwarf_tension,13,13.0,65.6,2.12,40.09555882338262,107.82325844752835,129.94211340353976,60.55428146506048,65.20513638084853,67.41939676432715
UGC07125,dwarf_tension,13,14.420000000000002,65.4,2.65,40.40251876766265,111.2380452252945,133.71868024613457,61.064562203385876,66.02362185631009,68.1398399939409
UGC07125,dwarf_tension,13,15.84,65.5,3.05,40.41443476357412,113.9905019688645,136.76659388794548,61.29157079524972,66.55651826530062,68.48977981908139
UGC07125,dwarf_tension,13,17.26,65.1,3.22,40.736397270108,116.99287796025475,140.17920323173195,61.654241016532886,67.19663775817594,68.87704202167713
UGC07125,dwarf_tension,13,18.68,64.9,3.48,40.81406702662331,119.46760837772841,142.99725871091184,61.80108869646084,67.6245523473586,69.01043196646513
