galaxy,selection_role,n_points,radius_kpc,v_obs_kms,e_vobs_kms,v_baryon_kms,v_c4_4_kms,v_mond_kms,v_nfw_kms,v_iso_kms,v_burkert_kms
UGC02487,bulge_success,17,9.93,377.0,10.3,184.72078631242763,202.12574187599367,289.7282373457568,201.86766759099174,268.81224644870827,233.08694777823808
UGC02487,bulge_success,17,10.05,377.0,19.7,185.16256495421572,207.0106049475841,290.8129243200141,202.3596193864522,269.15651554046303,233.94232968272806
UGC02487,bulge_success,17,10.35,378.0,10.8,186.19259679314442,226.71258915864192,293.43262174318346,203.51434643034665,269.96308441421627,235.9863410129543
UGC02487,bulge_success,17,15.07,367.0,10.7,193.0730510404198,265.1836852780988,322.4409114272498,212.1642133057955,275.75759763843826,255.41627064021333
UGC02487,bulge_success,17,20.09,364.0,6.67,189.84267118989052,291.8700633011901,338.018519425115,210.53055113043789,274.0636842769077,260.6451513126757
UGC02487,bulge_success,17,25.12,375.0,6.19,181.38737110599166,305.73614954126697,344.6473884053185,203.58104747909522,268.6199970483217,258.11554613384993
UGC02487,bulge_success,17,30.14,383.0,3.82,168.1066506017805,307.2957650758748,342.97451346149995,192.09343414426735,260.07385253937053,250.25655074628386
UGC02487,bulge_success,17,35.17,378.0,2.21,152.491222392615,300.2594224620274,335.80838886615464,178.58306036377863,250.44066710943258,240.02840372247223
UGC02487,bulge_success,17,40.19,364.0,4.0,138.26237033284684,290.97234955857874,327.7283513259051,166.41376499869597,242.17700280923808,230.43961395980526
UGC02487,bulge_success,17,45.21,349.0,3.0,125.45337302543638,281.20929999157477,319.23842779374525,155.62089416647657,235.20921909360916,221.69397231066748
UGC02487,bulge_success,17,50.24,338.0,3.08,112.6422992703867,269.72130617671155,308.6622039815449,145.0774893726834,228.7236840325516,213.1022677523291
UGC02487,bulge_success,17,55.26,332.0,2.19,100.54942247415798,257.650221002282,297.0679704110891,135.4124014486866,223.09248881202413,205.17940128316684
UGC02487,bulge_success,17,60.28,330.0,1.61,90.9094354841437,247.83848015980527,287.5002159718016,127.87100007456192,218.98131469320316,198.74265293016907
UGC02487,bulge_success,17,65.31,329.0,2.2,82.14478082553886,238.23894676321086,277.85469447960196,121.20639982008342,215.54580098865628,192.945087461844
UGC02487,bulge_success,17,70.33,330.0,3.53,73.93922948149608,228.4445911178852,267.7252580635836,115.18154328951142,212.60226151292568,187.63849744791986
UGC02487,bulge_success,17,75.35,332.0,13.4,66.45684548970267,218.82958948088307,257.5572743371103,109.88208132802629,210.15943085751474,182.86493705270124
UGC02487,bulge_success,17,80.38,333.0,15.3,60.70919300030584,211.43223221302333,249.67981011917044,105.84437273542244,208.4506122768122,178.923984765092
