galaxy,subset,class,radial_index,radius_m,radius_kpc,v_obs_kms,g_N,A_B,C_B,nu_B,S_Psi,alpha_B,S_rad,sin_alpha_B_S_rad
DDO154,calibration_24,low_mass_dwarf,6,1.067644443196013e+20,3.46,44.6,2.7351386156681858e-12,0.15530198406017393,0.08229823214197278,0.19193793357264008,0.21363258090222534,0.9253052313179844,0.863586550524993,0.6898367577222353
DDO154,calibration_24,low_mass_dwarf,7,1.21884264468909e+20,3.9499999999999997,46.3,2.6332550193350665e-12,0.14497688914719065,0.0744692634922827,0.1798389855427842,0.23009498022449307,0.9571785955602804,0.8818927218238253,0.7210091896468189
DDO154,calibration_24,low_mass_dwarf,8,1.3700408461821672e+20,4.44,47.4,2.5290527004524956e-12,0.13507295412391174,0.06718293360788885,0.16814547747571865,0.24502332377991737,0.9840709868638124,0.8985007992607426,0.7482338308577687
DDO154,calibration_24,low_mass_dwarf,9,1.5243247252567356e+20,4.940000000000001,48.2,2.4197892653478408e-12,0.12549991121856988,0.060434658082394344,0.15672644473889485,0.258425834183784,1.0066813376156047,0.9134780193155722,0.771945670108008
DDO154,calibration_24,low_mass_dwarf,10,1.6755229267498123e+20,5.43,47.4,2.3079766952770064e-12,0.11668963331292317,0.05462093670445531,0.14616442832748067,0.270383260107557,1.0256430726225476,0.9260662250609053,0.7918309171037698
DDO154,calibration_24,low_mass_dwarf,11,1.8267211282428894e+20,5.92,45.5,2.194481012393653e-12,0.1080920366192602,0.049101549634719105,0.13583672228486657,0.2811551956637942,1.0418890254157027,0.9374725183316002,0.8093752899224449
DDO161,calibration_24,low_mass_dwarf,0,1.8514065488948204e+19,0.6,16.0,9.296874912359513e-12,0.41180875567764325,0.3211389985561863,0.4187092649769739,0.016518576894961813,0.3690120941381012,0.4265049377395982,0.15383785902181374
DDO161,calibration_24,low_mass_dwarf,1,2.252544634488698e+19,0.73,16.6,9.184791827075826e-12,0.3986310794722757,0.31251098110636666,0.41092825165332786,0.031613860758438514,0.4213857427119378,0.43779081962042893,0.17906755087958906
DDO161,calibration_24,low_mass_dwarf,2,2.622825944267662e+19,0.85,18.6,9.081330517583192e-12,0.38646707066732106,0.3045466573065332,0.4037457778161161,0.04600069287916902,0.4698817927022946,0.4485120962571673,0.20307770716733228
DDO161,calibration_24,low_mass_dwarf,3,3.02396402986154e+19,0.98,20.0,8.969247432299506e-12,0.3732893944619535,0.2959186398567136,0.3959647644924701,0.058077798500968066,0.508160081929796,0.46046164462443584,0.22404711854135181
DDO161,calibration_24,low_mass_dwarf,4,3.301675012195763e+19,1.07,21.4,8.89165145018003e-12,0.3641663878582375,0.28994539700683847,0.39057790911456125,0.08709508719117126,0.6022344135949261,0.46894138614564423,0.2656483565421273
DDO161,calibration_24,low_mass_dwarf,5,4.751943475496705e+19,1.54,28.9,8.486427988000547e-12,0.3165240200388318,0.25875179545749066,0.3624465532521486,0.1293203227303463,0.7147833791486801,0.5160392842735111,0.33823992653332724
DDO161,calibration_24,low_mass_dwarf,6,6.2330687146125615e+19,2.02,32.9,8.019018264566326e-12,0.2842505269429711,0.23086241491748669,0.33954698506758424,0.16548116871245663,0.803847076843625,0.5605738219058308,0.4036305632555787
DDO161,calibration_24,low_mass_dwarf,7,7.683337177913505e+19,2.49,35.2,7.488185515349392e-12,0.27502539431658346,0.20897361536650388,0.325087808298484,0.19707205429337518,0.8783195599429326,0.5954692840194442,0.4583131151014069
DDO161,calibration_24,low_mass_dwarf,8,9.133605641214447e+19,2.96,37.6,6.957352766132458e-12,0.2658002616901959,0.1870848158155211,0.3106286315293838,0.22510129887319638,0.9373563168055775,0.6324554628005508,0.5097566158839892
DDO161,calibration_24,low_mass_dwarf,9,1.0583874104515389e+20,3.43,40.6,6.426520016915523e-12,0.25657512906380825,0.16519601626453834,0.29616945476028356,0.2500621213674936,0.9852022304028125,0.6714743601203543,0.5595959069640537
DDO161,calibration_24,low_mass_dwarf,10,1.2034142567816331e+20,3.9,42.7,6.077387507889743e-12,0.24748305960585848,0.15092578260672684,0.28469665301552693,0.2725857249008387,1.0221676061992195,0.6994569023982314,0.5968049365109452
DDO161,calibration_24,low_mass_dwarf,11,1.3484411031117275e+20,4.37,45.5,5.873941243650183e-12,0.23849767945832828,0.14276407282574027,0.27561831020138183,0.29356328295057177,1.0516588822926296,0.7176257881341601,0.6230767559296505
DDO161,calibration_24,low_mass_dwarf,12,1.4996393046048044e+20,4.86,48.9,5.661837691570642e-12,0.22912994270877557,0.13425505624556278,0.2661536549270604,0.3128971934731712,1.076862770979198,0.7367433681691387,0.6486839727507279
DDO161,calibration_24,low_mass_dwarf,13,1.64775182851639e+20,5.339999999999999,51.5,5.4540627834110914e-12,0.21995338426023409,0.12591969306498074,0.2568821558828271,0.33022442274781993,1.0980073812575153,0.7555922008421037,0.67270505661407
DDO161,calibration_24,low_mass_dwarf,14,1.792778674846484e+20,5.81,53.0,5.295203035916856e-12,0.21288998780609109,0.11967917518100121,0.24942456031529564,0.34606786714513776,1.1159123479284485,0.7701138786700513,0.6918025455442615
