subset,comparator,delta_equal_weight_rmse_kms,percentile_ci_low_95,percentile_ci_high_95,bca_ci_low_95,bca_ci_high_95,bootstrap_negative_fraction,resamples_percentile,resamples_bca,rng_seed,interpretation,display_subset
full_175,MOND,-4.353066078183502,-8.959489559793026,0.2275829284788646,-8.783447819502916,0.659506556856071,0.969,10000,5000,20260421,supportive_not_decisive,full 175
full_175,NFW,-6.059131293190781,-11.444219349092393,-0.7284038696179608,-12.146895804670306,-1.2432071342200255,0.9872,10000,5000,20260421,aggregate_rmse_support,full 175
external_151,MOND,-3.4965282931588675,-8.721092685625575,1.5312471760118378,-8.453225829819953,1.700938687916202,0.9097,10000,5000,20260421,supportive_not_decisive,held-out 151
external_151,NFW,-6.5801558469174,-12.538126884455313,-0.5498746399984125,-13.089038166379016,-1.0381428220909803,0.985,10000,5000,20260421,aggregate_rmse_support,held-out 151
